"Feature","Gain","Cover","Frequency","forecast_horizon_label","model_part"
"pop_density",0.138518732236679,0.0576904434152269,0.0792338431858895,"H+0","regressor"
"city_env_u_component_of_wind_10m_mean_rollmean_lag1_w8",0.0781587574882932,0.0288070253245279,0.019567314317211,"H+0","regressor"
"percent_built_up",0.0449102203229141,0.0375593140069613,0.0271462036654265,"H+0","regressor"
"city_env_rh_mean_rollmean_lag1_w8",0.04476498816497,0.0364403030153048,0.0205319002342566,"H+0","regressor"
"week_cos",0.0388973996768762,0.0264406721846449,0.0214964861513022,"H+0","regressor"
"city_env_rainfall_mean_rollmean_lag1_w8",0.0369345121167974,0.0280594347791086,0.023287859997244,"H+0","regressor"
"barangay_area_m2",0.0241015388074104,0.0311884300964879,0.0263194157365302,"H+0","regressor"
"barangayPARDO (POB.)",0.0237010419453905,0.0322779232322949,0.0128152128978917,"H+0","regressor"
"city_env_temp_c_mean_lag15",0.0227652772012363,0.0202058745819921,0.0147443847319829,"H+0","regressor"
"city_env_rh_mean_lag20",0.0227461104049386,0.0351582045121739,0.0194295163290616,"H+0","regressor"
"city_env_v_component_of_wind_10m_mean_lag11",0.0220461594284736,0.0273866980398846,0.0152955766845804,"H+0","regressor"
"city_env_u_component_of_wind_10m_mean_rollmean_lag1_w4",0.0214525415504475,0.0144425599996891,0.0128152128978917,"H+0","regressor"
"city_env_rh_mean_lag19",0.0166628272367416,0.0166084681290774,0.0155711726608792,"H+0","regressor"
"neighbor_env_u_component_of_wind_10m_mean_rollmean_lag1_w8",0.0153001940543904,0.00620473054932174,0.00757888934821552,"H+0","regressor"
"city_env_temp_c_mean_lag14",0.0143696915284184,0.0128176294950479,0.014055394791236,"H+0","regressor"
"city_env_temp_c_mean_rollmean_lag1_w8",0.0136803578261684,0.0147833098788792,0.0157089706490285,"H+0","regressor"
"flood_risk_index",0.0135411319958474,0.0252694632916916,0.0170869505305223,"H+0","regressor"
"u_component_of_wind_10m_rollmean_lag1_w8",0.0131014350546242,0.00402839973805815,0.0086812732534105,"H+0","regressor"
"week_sin",0.0129436641602794,0.0168736822315731,0.0136420008267879,"H+0","regressor"
"city_env_wind_speed_10m_mean_lag1",0.012696865986874,0.0114003499546704,0.0172247485186716,"H+0","regressor"
"barangayBANILAD",0.0122865226861279,0.0275496648486158,0.00826787928896238,"H+0","regressor"
"neighbor_env_rainfall_mean_rollmean_lag1_w8",0.0120902620628021,0.00677774268211405,0.0161223646134766,"H+0","regressor"
"city_env_rh_mean_rollmean_lag1_w4",0.0117625212398476,0.0214618771520432,0.0129530108860411,"H+0","regressor"
"city_env_wind_speed_10m_mean_rollmean_lag1_w4",0.0117119822831339,0.0251325743106288,0.0166735565660741,"H+0","regressor"
"city_env_temp_c_mean_rollmean_lag1_w4",0.0105141820016455,0.0124920700560894,0.0130908088741904,"H+0","regressor"
"city_env_rainfall_mean_rollmean_lag1_w4",0.0103242723312981,0.0160307123784773,0.0111616370400992,"H+0","regressor"
"city_env_u_component_of_wind_10m_mean_lag9",0.00998040655829528,0.0144805994692085,0.00757888934821552,"H+0","regressor"
"rh_rollmean_lag1_w8",0.00964095831969524,0.0102600107882905,0.0101970511230536,"H+0","regressor"
"city_env_rainfall_mean_lag20",0.00917057565549873,0.0113058216013335,0.00978365715860548,"H+0","regressor"
"city_env_u_component_of_wind_10m_mean_lag8",0.00884383916929429,0.00386183598757962,0.00564971751412429,"H+0","regressor"
