"forecast_horizon_label","model_part","grid_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","best_nrounds","validation_RMSE_raw","validation_MAE_raw","validation_R2_raw","validation_Correlation_raw"
"H+0","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.31225093601207,0.783531893826693,-0.300065435368514,0.283069140866761
"H+0","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.31816415333268,0.778697890267752,-0.311808448783832,0.279712787924948
"H+0","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.32567788772346,0.773771672108662,-0.326806083528239,0.275249770347928
"H+0","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.32722722747576,0.770571540787716,-0.32990921238951,0.268070420885157
"H+0","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.35593429794694,0.784763969417923,-0.388061542709293,0.245504267620585
"H+0","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.35843413215507,0.78947926000818,-0.393184390256665,0.257497980828952
"H+1","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.30208394502205,0.763881282221296,-0.277890103642529,0.291830610655002
"H+1","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.30454191530082,0.754308678754926,-0.282719255535565,0.297878454028188
"H+1","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.3084637444609,0.76048733165711,-0.290443296361287,0.287420415262593
"H+1","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.31614073703458,0.766821762957663,-0.30563024504254,0.278187948061898
"H+1","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.32661605434896,0.765034454445583,-0.326496279669101,0.267800800527183
"H+1","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.33536186799741,0.768274898739155,-0.344043979931633,0.268544575393215
"H+10","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.24768209884381,0.705802919119477,-0.14910978138496,0.32719680588073
"H+10","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.27577648508928,0.729863366470058,-0.20144202608712,0.321230466540004
"H+10","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.27610897759765,0.73112477022066,-0.202068346657422,0.319543293384731
"H+10","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.28951456253907,0.734917724852916,-0.227456571378956,0.308483117533992
"H+10","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.29135014025578,0.736582565586817,-0.230953539298394,0.316452784398298
"H+10","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.30815658173746,0.742507574693569,-0.263202843266072,0.307648237555243
"H+11","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.27449441995469,0.709293438547469,-0.195872038537098,0.31505990421937
"H+11","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.29081107825294,0.729718775806078,-0.226688242890216,0.322279224089623
"H+11","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.29240671928414,0.741830278971521,-0.229722868051401,0.315916154576733
"H+11","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.29360033070657,0.722787120328278,-0.231995355564172,0.298460557541846
"H+11","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.29497630874532,0.740740205874034,-0.234617649464461,0.312299276784692
"H+11","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.29841643896879,0.73252231660739,-0.241185934779855,0.313591074364021
"H+12","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.27562981637866,0.718454046512048,-0.195492945872573,0.303798113676837
"H+12","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.28913749003892,0.721891370503589,-0.220945198367991,0.302195824692724
"H+12","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.29299309859403,0.725455634467298,-0.22825943205801,0.288210977359455
"H+12","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.29498966845377,0.730449757542853,-0.232055583984067,0.309820743647271
"H+12","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.29681568394545,0.73542294806582,-0.235532582732273,0.302731179992378
"H+12","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.29838984606748,0.735146308468472,-0.238533948398884,0.296097792044807
"H+2","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.31053090870385,0.759050154738523,-0.290429133599188,0.300542123652505
