Feature,Gain,Cover,Frequency,forecast_horizon,forecast_horizon_label,Component
city_estimated_population,0.39130621989584957,0.35999892078566803,0.26490066225165565,0,H+0,City-week environmental-only LightGBM regressor
city_pop_density,0.07328491551030687,0.07878264623354198,0.054635761589403975,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag11,0.06358548463504342,0.0420353982300885,0.029801324503311258,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag9,0.06274338205386328,0.051505503993093026,0.024834437086092714,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w8,0.060510645965115316,0.0576570256853011,0.046357615894039736,0,H+0,City-week environmental-only LightGBM regressor
week_cos,0.04768576206867958,0.05050723073602417,0.08278145695364239,0,H+0,City-week environmental-only LightGBM regressor
week_sin,0.03755353411663677,0.03572199438808547,0.026490066225165563,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_pop_density_lag20,0.03527648022645322,0.05659130153248435,0.057947019867549666,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_temp_c_lag15,0.02715453570936824,0.023864126915605438,0.026490066225165563,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.025420097897896808,0.03019102093675804,0.029801324503311258,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_temp_c_lag14,0.020919454079876262,0.021503345564429097,0.02152317880794702,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag8,0.019384546382232744,0.0169166846535722,0.009933774834437087,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag9,0.017095116012303967,0.017267429311461257,0.013245033112582781,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.011142408381461709,0.022177854521908052,0.039735099337748346,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w4,0.011099560858508932,0.01056281027412044,0.02152317880794702,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,0.010091357383644492,0.007878264623354198,0.023178807947019868,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,0.010018191936282528,0.017307899848909993,0.023178807947019868,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w8,0.009157018533480069,0.011291279948197713,0.023178807947019868,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_pop_density_lag19,0.0085266355342457,0.011642024606086768,0.011589403973509934,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w4,0.008384851744896843,0.006380854737750918,0.02152317880794702,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w8,0.006818173025024436,0.004546190373408159,0.011589403973509934,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.006630530248000729,0.013152924670839629,0.029801324503311258,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w4,0.005572563108451186,0.0093621843298079,0.016556291390728478,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_rainfall_lag20,0.0047846133605037675,0.006165011871357652,0.004966887417218543,0,H+0,City-week environmental-only LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.004728612099060745,0.00857975393913231,0.019867549668874173,0,H+0,City-week environmental-only LightGBM regressor
