Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
neighbor_cases_mean_lag1,0.234742715061214,0.031546793919362985,0.026547282437951618,H+0,0,XGBoost classifier
dengue_cases_lag1,0.16640175614033745,0.04412128704646656,0.02403393025447691,H+0,0,XGBoost classifier
dengue_cases_lag2,0.1093491426468959,0.03793876464070106,0.020263901979264844,H+0,0,XGBoost classifier
pop_density,0.05262460359909157,0.05929786163893897,0.05513666352497644,H+0,0,XGBoost classifier
city_cases_lag1,0.03392949931095636,0.03424004680295537,0.029846057178762174,H+0,0,XGBoost classifier
neighbor_cases_mean_lag2,0.03195452655538521,0.01713467399344275,0.022934338674206724,H+0,0,XGBoost classifier
barangay_area_m2,0.028777728626999236,0.04054600138802159,0.03848570530945649,H+0,0,XGBoost classifier
city_incidence_mean_lag1,0.026763554276272368,0.035940495145745606,0.03628652214891612,H+0,0,XGBoost classifier
neighbor_incidence_mean_lag1,0.01796864708505428,0.018613625047726783,0.02811812755262331,H+0,0,XGBoost classifier
dengue_incidence_10000_lag2,0.01739737954212864,0.014120101463207625,0.018064718818724474,H+0,0,XGBoost classifier
neighbor_incidence_mean_lag2,0.013604540639559983,0.02199049743432503,0.028903550109959156,H+0,0,XGBoost classifier
percent_built_up,0.012960414961527245,0.022145767333293574,0.017279296261388626,H+0,0,XGBoost classifier
dengue_incidence_10000_lag1,0.012823419397095744,0.01773098425789318,0.022148916116870875,H+0,0,XGBoost classifier
city_incidence_mean_lag2,0.012485791218826373,0.023827639533875122,0.0235626767200754,H+0,0,XGBoost classifier
flood_risk_index,0.008749070981205559,0.018672051005606635,0.019478479421929,H+0,0,XGBoost classifier
rainfall_lag4,0.008579843902448385,0.020795381474924626,0.02434809927741125,H+0,0,XGBoost classifier
rh_lag19,0.008524959977805316,0.014278471382220215,0.02434809927741125,H+0,0,XGBoost classifier
percent_perennial_crop,0.008389218182210686,0.020811292627526387,0.017593465284322967,H+0,0,XGBoost classifier
rainfall_rollmean_lag1_w4,0.007867582689070134,0.0215855851477432,0.021834747093936537,H+0,0,XGBoost classifier
temp_c_lag15,0.007784537241688194,0.02014054762765373,0.02136349355953503,H+0,0,XGBoost classifier
temp_c_lag14,0.006911841540901156,0.016571206814276644,0.01932139491046183,H+0,0,XGBoost classifier
wind_speed_10m_rollmean_lag1_w4,0.006817729944965804,0.020952771719094567,0.019635563933396168,H+0,0,XGBoost classifier
u_component_of_wind_10m_lag8,0.006809207981629423,0.011611119936819046,0.02057807100219918,H+0,0,XGBoost classifier
v_component_of_wind_10m_lag9,0.006781086630236083,0.01668993929468186,0.017122211749921457,H+0,0,XGBoost classifier
v_component_of_wind_10m_lag11,0.0064213261548598894,0.009215500662742805,0.018221803330191643,H+0,0,XGBoost classifier
u_component_of_wind_10m_lag9,0.006413523751940846,0.010181157762822222,0.015865535658184104,H+0,0,XGBoost classifier
city_cases_lag2,0.006408282448489584,0.015101999414153154,0.015080113100848256,H+0,0,XGBoost classifier
wind_speed_10m_lag14,0.00634078754039124,0.009133222534065488,0.020263901979264844,H+0,0,XGBoost classifier
rh_rollmean_lag1_w8,0.00609659650230855,0.016619584254146325,0.014765944077913918,H+0,0,XGBoost classifier
rh_lag20,0.005883530152268058,0.015207958441802293,0.01853597235312598,H+0,0,XGBoost classifier
rainfall_rollmean_lag1_w8,0.005751277625651133,0.008949954829759917,0.014608859566446749,H+0,0,XGBoost classifier
temp_c_rollmean_lag1_w8,0.00542895226336791,0.017936551553896805,0.015394282123782596,H+0,0,XGBoost classifier
wind_speed_10m_rollmean_lag1_w8,0.0054213598790623495,0.007463681904929866,0.015551366635249765,H+0,0,XGBoost classifier
rh_rollmean_lag1_w4,0.005355821385967462,0.016877052051473,0.015865535658184104,H+0,0,XGBoost classifier
v_component_of_wind_10m_rollmean_lag1_w8,0.00522965446581842,0.009854497004296964,0.013980521520578071,H+0,0,XGBoost classifier
wind_speed_10m_lag15,0.0050367322836611375,0.00918548698801802,0.015394282123782596,H+0,0,XGBoost classifier
temp_c_rollmean_lag1_w4,0.004948005057547978,0.009120320627440186,0.014765944077913918,H+0,0,XGBoost classifier
rainfall_lag20,0.004841606315583175,0.006574178253042954,0.017279296261388626,H+0,0,XGBoost classifier
u_component_of_wind_10m_rollmean_lag1_w4,0.004538998036351715,0.009303392225505401,0.013352183474709393,H+0,0,XGBoost classifier
v_component_of_wind_10m_rollmean_lag1_w4,0.00437655004834319,0.009580220590002186,0.011938422871504869,H+0,0,XGBoost classifier
barangay_area_km2,0.0041862886892570705,0.0031812795335402068,0.0036129437637448946,H+0,0,XGBoost classifier
u_component_of_wind_10m_rollmean_lag1_w8,0.0038804261786572897,0.007256367636304734,0.010367577756833177,H+0,0,XGBoost classifier
week_sin,0.0034470668649432216,0.015214179034509463,0.011938422871504869,H+0,0,XGBoost classifier
barangayGUADALUPE,0.0032139134326158022,0.009322988291435762,0.005026704366949419,H+0,0,XGBoost classifier
target_log_incidence_lag1,0.002939754042195858,0.002499700734336825,0.0025133521834747093,H+0,0,XGBoost classifier
percent_brush_shrubs,0.0027147319597265536,0.005443418110305556,0.007382972038956959,H+0,0,XGBoost classifier
percent_annual_crop,0.0024602154763212285,0.0019726320294655023,0.004398366321080742,H+0,0,XGBoost classifier
barangaySANTA CRUZ (POB.),0.0022978518833763426,0.009070538758600276,0.003770028275212064,H+0,0,XGBoost classifier
week_cos,0.00223176649617386,0.006614996610888105,0.006440464970153943,H+0,0,XGBoost classifier
barangay_classificationUrban,0.002133034666931985,7.37621509629485e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayPAHINA SAN NICOLAS,0.001864272332022296,0.006435265241602392,0.003298774740810556,H+0,0,XGBoost classifier
