Model,Horizon,Horizon_number,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,Alert_threshold,Alert_Precision,Alert_Recall,Alert_F1,Alert_False_alarm_rate,Alert_Specificity,Alert_TP,Alert_TN,Alert_FP,Alert_FN,Alert_AUC,Brier_score,Outbreak_week_RMSE,Outbreak_week_MAE,Outbreak_week_Bias,Outbreak_week_Underprediction_rate,Large_outbreak_RMSE,Large_outbreak_MAE,Large_outbreak_Bias,Large_outbreak_Underprediction_rate
Soft-gated XGBoost hybrid alpha=0.5,H+0,0,1.0104597822976058,0.49612238127650643,0.669488029349267,0.8195619280790847,-0.05444014107438281,0.6109444743102326,0.6653846153846154,0.42485812992591737,0.24411716350193163,0.37324668800097127,0.6166830764725544,0.7637906647807637,0.5004633920296571,0.604703247480403,0.02306311282971965,0.9769368871702804,540,7074,167,539,0.5,0.3654524089306698,0.8646895273401297,0.5137665198237886,0.22372600469548404,0.7762739953045159,933,5621,1620,146,0.9068441870058501,0.14603471978333865,2.3728485612636607,1.76902537927731,-1.216463158248389,0.772937905468026,3.9404800427413527,3.060552126578875,-2.531886326633681,0.8247011952191236
Soft-gated XGBoost hybrid alpha=0.5,H+1,1,1.053220230946867,0.5154905326591478,0.6437161185955191,0.802954111067066,-0.04980303548894763,0.6191290033460038,0.6689320388349514,0.43167482415787084,0.25076637618317027,0.35459730238765397,0.6025586026756494,0.76,0.49534450651769085,0.5997745208568207,0.023444041306168017,0.9765559586938319,532,6998,168,542,0.5,0.3544207317073171,0.8659217877094972,0.502974580854516,0.23639408317052749,0.7636059168294725,930,5472,1694,144,0.9021191265810877,0.15094122384891895,2.4769774340337185,1.848349716169999,-1.2278104640735092,0.7737430167597765,4.105241082230275,3.20079963467824,-2.576203992057658,0.8286852589641435
Soft-gated XGBoost hybrid alpha=0.5,H+2,2,1.1232245152991935,0.5418639983100181,0.5977928751592364,0.773487932873258,-0.029050902119223076,0.6431304704297965,0.6721813725490197,0.4405278837087973,0.2604445665931178,0.3311103039180724,0.5835632510064149,0.7282758620689656,0.4948453608247423,0.5892857142857143,0.02777386155364444,0.9722261384463555,528,6896,197,539,0.5,0.34079236977256055,0.8706654170571696,0.48984972317426845,0.25334837163400536,0.7466516283659946,929,5296,1797,138,0.8987208503545941,0.15946651051727448,2.6583705463280243,1.936706263176415,-1.2332266641776,0.7582005623242737,4.466569119910055,3.454787268704707,-2.783038896953351,0.7928286852589641
Soft-gated XGBoost hybrid alpha=0.5,H+3,3,1.2186367180231412,0.5848266327383979,0.5302859251752599,0.7293037281383183,-0.01449722306135799,0.6606265393148796,0.6751237623762376,0.4564593226262043,0.27956613005527026,0.28464983637648356,0.5464822666401677,0.6852861035422343,0.4749763928234183,0.5610708310094813,0.03290129611166501,0.967098703888335,503,6790,231,556,0.5,0.32440890125173855,0.8810198300283286,0.4742058449809403,0.2767412049565589,0.7232587950434411,933,5078,1943,126,0.8926799797558626,0.17181150475177792,2.885054847831839,2.0714636966280837,-1.3245110225843297,0.7677053824362606,4.942806829739953,3.8694508545762045,-3.220845322982757,0.8207171314741036
Soft-gated XGBoost hybrid alpha=0.5,H+4,4,1.2465672484502093,0.5892169998036626,0.5122704706498281,0.7166630957374575,-0.0579402850064965,0.6208097149935035,0.67875,0.4576800072654138,0.2802916277803662,0.2847673705320971,0.5403128556200102,0.6724137931034483,0.4444444444444444,0.5351629502572899,0.03281992226860515,0.9671800777313948,468,6719,228,585,0.5,0.32671081677704195,0.8433048433048433,0.4709626093874304,0.2634230603138045,0.7365769396861955,888,5117,1830,165,0.8849004762828476,0.16573684150551543,2.9885330371540757,2.148149495961216,-1.5754672195649908,0.8110161443494777,5.205801691314805,4.144394956212558,-3.7271034248331083,0.8725099601593626
Soft-gated XGBoost hybrid alpha=0.5,H+5,5,1.3396272019872122,0.6424780491516988,0.44091186425851414,0.6783913305940301,0.03181748757239261,0.7136356693905744,0.6818181818181818,0.4764676635054658,0.2987033147528888,0.2293760274620671,0.5112055621521127,0.6427640156453716,0.4713193116634799,0.543849972421401,0.039860343322665116,0.9601396566773349,493,6600,274,553,0.5,0.3147120055517002,0.8671128107074569,0.46181262729124234,0.2873145184754146,0.7126854815245854,907,4899,1975,139,0.8860452359905227,0.17825367372750361,3.1174840562672914,2.2370648349792615,-1.264495343544759,0.762906309751434,5.286212158586478,4.23975633835397,-3.2339690025522847,0.808
Soft-gated XGBoost hybrid alpha=0.5,H+6,6,1.3539699100664218,0.6582194863448099,0.4336964090787976,0.6651649460812163,0.03494137987588653,0.7206556655901722,0.6857142857142857,0.4814911828073964,0.3094028066993845,0.21815246904946162,0.49619873818871996,0.6223337515683814,0.4773820981713186,0.5403050108932461,0.04425819732392295,0.955741802676077,496,6500,301,543,0.5,0.30445043830074175,0.8691049085659288,0.45093632958801505,0.3033377444493457,0.6966622555506543,903,4738,2063,136,0.8768839406648997,0.1903174163225154,3.14755556926278,2.2368887690790533,-1.4035865554020865,0.7651588065447545,5.424166264157378,4.3209882895881435,-3.6685999172630352,0.848
Soft-gated XGBoost hybrid alpha=0.5,H+7,7,1.4574819396119345,0.7051603159738887,0.3485675920002479,0.6190648046671441,0.06552697451494378,0.7539290363706139,0.6884020618556701,0.4966431431150124,0.32055795629116,0.17184131720321028,0.45838756016547844,0.5885997521685254,0.46027131782945735,0.5165851005981511,0.04934601664684899,0.950653983353151,475,6396,332,557,0.5,0.29442282749675747,0.8798449612403101,0.4412050534499514,0.3234244946492271,0.6765755053507729,908,4552,2176,124,0.8707866552138926,0.20033161331217256,3.382065581421536,2.412407900712046,-1.3675428174962239,0.7625968992248062,5.738742913769947,4.674856472870401,-3.8216402218198673,0.8554216867469879
Soft-gated XGBoost hybrid alpha=0.5,H+8,8,1.5495321942796239,0.7592497260932322,0.2699434764544274,0.5792437475570289,0.12136100624430063,0.8141995479109673,0.6928385416666667,0.512997130752132,0.3425032062202191,0.12227375317481304,0.42821483514262154,0.5421412300683371,0.46393762183235865,0.5,0.060414788097385035,0.939585211902615,476,6252,402,550,0.5,0.2858942065491184,0.884990253411306,0.43217515468824375,0.3408476104598738,0.6591523895401262,908,4386,2268,118,0.863987775604057,0.21336700806126757,3.5019543234559616,2.4523685999970533,-1.3567012034209494,0.7709551656920078,5.894481367822816,4.747371237877596,-3.9278507103755085,0.8795180722891566
Soft-gated XGBoost hybrid alpha=0.5,H+9,9,1.57553186713946,0.7738765995721275,0.25172508321027,0.5747596024751448,0.14229054260797933,0.840316858397453,0.6980263157894737,0.5231638908629282,0.3499360245208586,0.0933510313983218,0.42025289809796756,0.5376106194690266,0.4750733137829912,0.5044110015568241,0.06355481222441843,0.9364451877755816,486,6159,418,537,0.5,0.2714243057629143,0.8885630498533724,0.4158279963403477,0.37098981298464345,0.6290101870153565,909,4137,2440,114,0.8594236914654597,0.22697995532863624,3.5337593673503918,2.4722175887972426,-1.2767680647362527,0.750733137829912,5.88784878091063,4.734209499591969,-3.889751233005776,0.8714859437751004
