Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
city_incidence_mean_lag1,0.23222983763108937,0.034514643321226016,0.02824467163403223,H+0,0,XGBoost regressor
city_cases_lag1,0.2208842933907621,0.059284665835117774,0.04747877317622596,H+0,0,XGBoost regressor
dengue_incidence_10000_lag1,0.10804747243939414,0.0523035330035715,0.055103101715473925,H+0,0,XGBoost regressor
dengue_incidence_10000_lag2,0.06918997175081049,0.03779708703086899,0.04124068618956853,H+0,0,XGBoost regressor
pop_density,0.03892204779685399,0.03643180686813152,0.041067405995494716,H+0,0,XGBoost regressor
target_log_incidence_lag1,0.03291226626087954,0.012710033108532873,0.009357130479986138,H+0,0,XGBoost regressor
percent_built_up,0.02537328839460907,0.033787449135560976,0.023392826199965345,H+0,0,XGBoost regressor
target_log_incidence_lag2,0.021092109177885347,0.0065900960301195485,0.006411367180731243,H+0,0,XGBoost regressor
neighbor_cases_mean_lag1,0.01597073388616292,0.020605213565387297,0.017847859989603188,H+0,0,XGBoost regressor
city_incidence_mean_lag2,0.011022754701798565,0.031878794891742425,0.031883555709582394,H+0,0,XGBoost regressor
barangayPARDO (POB.),0.010566062405013718,0.027155956064344827,0.014555536302200658,H+0,0,XGBoost regressor
neighbor_incidence_mean_lag2,0.009695651185508676,0.02573167753470706,0.03084387454513949,H+0,0,XGBoost regressor
barangayBANILAD,0.009628186367705672,0.027151749307565438,0.014208975914053023,H+0,0,XGBoost regressor
dengue_cases_lag1,0.009597054202175182,0.0078096404081866395,0.010396811644429042,H+0,0,XGBoost regressor
neighbor_incidence_mean_lag1,0.008969052137235433,0.01861342199356623,0.03084387454513949,H+0,0,XGBoost regressor
city_cases_lag2,0.008718581576529933,0.012904980763307476,0.0209669034829319,H+0,0,XGBoost regressor
barangay_area_m2,0.007459289670257766,0.020627181297184025,0.022006584647374806,H+0,0,XGBoost regressor
rh_lag19,0.006896334187476123,0.016890160399085995,0.023912666782186797,H+0,0,XGBoost regressor
temp_c_lag14,0.006760156565390041,0.017725237540867606,0.02304626581181771,H+0,0,XGBoost regressor
flood_risk_index,0.00583678807997977,0.024165638485818527,0.01715473921330792,H+0,0,XGBoost regressor
rh_rollmean_lag1_w4,0.005088787064383032,0.021171585115693076,0.018194420377750823,H+0,0,XGBoost regressor
rainfall_rollmean_lag1_w4,0.004762274048101944,0.006196265367454138,0.015421937272569745,H+0,0,XGBoost regressor
u_component_of_wind_10m_rollmean_lag1_w4,0.004726824435871464,0.021205374871759775,0.01628833824293883,H+0,0,XGBoost regressor
u_component_of_wind_10m_lag9,0.004706487516316118,0.013155566169035278,0.018194420377750823,H+0,0,XGBoost regressor
rainfall_lag4,0.004607562360484133,0.008557086096601791,0.01767457979552937,H+0,0,XGBoost regressor
v_component_of_wind_10m_lag11,0.0045386573076310185,0.014927440949068596,0.019927222318488997,H+0,0,XGBoost regressor
rainfall_lag20,0.004470703722277071,0.0031184919496963846,0.019234101542193727,H+0,0,XGBoost regressor
percent_perennial_crop,0.0044325565786582964,0.014147618400127451,0.008144169121469416,H+0,0,XGBoost regressor
temp_c_lag15,0.004228693960624833,0.0068779675096927425,0.01507537688442211,H+0,0,XGBoost regressor
u_component_of_wind_10m_rollmean_lag1_w8,0.004225860505308085,0.011751459317540802,0.01386241552590539,H+0,0,XGBoost regressor
temp_c_rollmean_lag1_w8,0.004129882385061829,0.012087928017745712,0.012822734361462486,H+0,0,XGBoost regressor
wind_speed_10m_rollmean_lag1_w8,0.004118144981445631,0.00423527012894404,0.011609773002945764,H+0,0,XGBoost regressor
u_component_of_wind_10m_lag8,0.0038083580562506903,0.0038606213192973575,0.014728816496274475,H+0,0,XGBoost regressor
barangaySAN NICOLAS CENTRAL,0.003765733569118832,0.022070306416491877,0.008664009703690868,H+0,0,XGBoost regressor
rainfall_rollmean_lag1_w8,0.0037230499643879558,0.004514281077160269,0.01247617397331485,H+0,0,XGBoost regressor
v_component_of_wind_10m_rollmean_lag1_w4,0.003712723237022358,0.007625397233186531,0.013515855137757755,H+0,0,XGBoost regressor
wind_speed_10m_lag14,0.003655564432150649,0.005387330784405918,0.013515855137757755,H+0,0,XGBoost regressor
temp_c_rollmean_lag1_w4,0.0036302867708946354,0.005321587238229371,0.01316929474961012,H+0,0,XGBoost regressor
dengue_cases_lag2,0.003579519649110533,0.010895963041334762,0.009357130479986138,H+0,0,XGBoost regressor
rh_lag20,0.003430865187927613,0.01646328234919731,0.01767457979552937,H+0,0,XGBoost regressor
neighbor_cases_mean_lag2,0.0032541794422052527,0.0017428186231510166,0.009357130479986138,H+0,0,XGBoost regressor
v_component_of_wind_10m_lag9,0.0030171437049964357,0.011333274167334758,0.014902096690348293,H+0,0,XGBoost regressor
wind_speed_10m_lag15,0.002863734699275113,0.007550298243090737,0.012822734361462486,H+0,0,XGBoost regressor
wind_speed_10m_rollmean_lag1_w4,0.0026986474075366106,0.009532319283037095,0.011089932420724312,H+0,0,XGBoost regressor
percent_brush_shrubs,0.0026973486823298216,0.004236770831552247,0.005891526598509791,H+0,0,XGBoost regressor
v_component_of_wind_10m_rollmean_lag1_w8,0.0025641637141342226,0.006766971393910216,0.009530410674059955,H+0,0,XGBoost regressor
barangayCENTRAL (POB.),0.0025066918652834574,0.0015976336282676942,0.004851845434066886,H+0,0,XGBoost regressor
rh_rollmean_lag1_w8,0.0024175439224419395,0.01172158894966894,0.010223531450355225,H+0,0,XGBoost regressor
barangayMABOLO,0.0023585906424189135,0.017395689634073945,0.00658464737480506,H+0,0,XGBoost regressor
week_cos,0.0022072980001931705,0.013067934715668821,0.010396811644429042,H+0,0,XGBoost regressor
week_sin,0.00208641973343739,0.009454043273589884,0.01057009183850286,H+0,0,XGBoost regressor
barangaySAMBAG II (POB.),0.0020840927344019998,0.018969862810397385,0.006238086986657425,H+0,0,XGBoost regressor
barangayKALUBIHAN (POB.),0.0020747042079877587,0.005897370109679169,0.005371686016288338,H+0,0,XGBoost regressor
percent_annual_crop,0.0017793134655129147,0.002589502262764182,0.003812164269623982,H+0,0,XGBoost regressor
barangaySIRAO,0.0017352255850588904,0.009956706805193012,0.005544966210362156,H+0,0,XGBoost regressor
percent_mangrove_forest,0.0017223867088546764,0.009448782832000478,0.004332004851845434,H+0,0,XGBoost regressor
percent_inland_water,0.001669252555645297,0.003778290219823716,0.00329232368740253,H+0,0,XGBoost regressor
barangayPARI-AN,0.0013746505908990925,0.0014599521464254055,0.0031190434933287127,H+0,0,XGBoost regressor
barangayZAPATERA,0.0012677317581446747,0.010768299547648321,0.004678565239993069,H+0,0,XGBoost regressor
barangay_area_km2,0.001266811129550507,0.001348900153418105,0.0031190434933287127,H+0,0,XGBoost regressor
barangayPAHINA SAN NICOLAS,0.0012435155370867903,0.007746634846024001,0.0031190434933287127,H+0,0,XGBoost regressor
percent_open_forest,0.0011180309852830595,0.0047810150008476575,0.0034656038814763475,H+0,0,XGBoost regressor
barangayTAPTAP,9.396761565608444e-4,4.8622764505899173e-4,0.0017328019407381737,H+0,0,XGBoost regressor
barangayT. PADILLA,8.939802308642204e-4,0.009877536760149424,0.003985444463697799,H+0,0,XGBoost regressor
barangaySAMBAG I (POB.),8.528336255212172e-4,0.011453929060542446,0.0036388840755501644,H+0,0,XGBoost regressor
barangayLUSARAN,8.138889179952085e-4,0.010503210010861415,0.004158724657771617,H+0,0,XGBoost regressor
barangayTO-ONG PARDO,7.773093217362414e-4,5.556590880706004e-4,0.0022526425229596257,H+0,0,XGBoost regressor
barangayCARRETA,4.397202508846704e-4,0.007418539747074456,0.0020793623288858083,H+0,0,XGBoost regressor
percent_grassland,4.300496357695997e-4,4.3735103830340656e-4,0.001386241552590539,H+0,0,XGBoost regressor
barangaySAN ANTONIO (POB.),4.08652352468468e-4,8.190004659681598e-4,0.001386241552590539,H+0,0,XGBoost regressor
barangayCAMBINOCOT,3.7031874984767024e-4,1.279827921137184e-4,8.664009703690869e-4,H+0,0,XGBoost regressor
barangayCOGON PARDO,3.669649316490086e-4,0.006794766322004769,0.0020793623288858083,H+0,0,XGBoost regressor
barangayLABANGON,2.787764569659742e-4,0.005420905014034204,0.0015595217466643563,H+0,0,XGBoost regressor
barangayADLAON,2.6933652267896425e-4,0.00232504334037115,0.0012129613585167215,H+0,0,XGBoost regressor
barangayPUNG-OL-SIBUGAY,2.64926413797442e-4,6.271021111740608e-5,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangaySANTA CRUZ (POB.),2.602012825920149e-4,0.003408063693394835,0.001386241552590539,H+0,0,XGBoost regressor
barangayPASIL,2.5427561608958596e-4,0.005285817831913549,0.0017328019407381737,H+0,0,XGBoost regressor
barangayHIPPODROMO,2.485989010117649e-4,0.0012726277416020642,0.0015595217466643563,H+0,0,XGBoost regressor
barangayGUBA,1.9180569717749103e-4,1.8469019279829742e-4,6.931207762952695e-4,H+0,0,XGBoost regressor
barangayCAPITOL SITE (POB.),1.911304415312191e-4,0.0026066565707696947,8.664009703690869e-4,H+0,0,XGBoost regressor
barangayMALUBOG,1.8103778436390179e-4,0.0010327228682667127,8.664009703690869e-4,H+0,0,XGBoost regressor
percent_fishpond,1.5985032198999604e-4,8.325467017454305e-4,5.198405822214521e-4,H+0,0,XGBoost regressor
barangayBASAK PARDO,1.579231522672602e-4,9.77588012336478e-4,0.0010396811644429042,H+0,0,XGBoost regressor
barangay_classificationUrban,1.4490797062502783e-4,5.065430074945568e-4,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangayPAMUTAN,1.365415211650813e-4,0.003085005527135601,8.664009703690869e-4,H+0,0,XGBoost regressor
barangayBABAG,1.2944912578792412e-4,1.1582550449510721e-4,5.198405822214521e-4,H+0,0,XGBoost regressor
barangayKINASANG-AN PARDO,1.2725063188780215e-4,0.003679978234064809,0.0010396811644429042,H+0,0,XGBoost regressor
barangayKAMAGAYAN (POB.),1.1892432391764207e-4,1.7004237744691755e-4,5.198405822214521e-4,H+0,0,XGBoost regressor
barangayDAY-AS,1.1887160684607616e-4,0.0016060790716691982,6.931207762952695e-4,H+0,0,XGBoost regressor
barangayCOGON RAMOS (POB.),1.1441841077747385e-4,0.0018757585233482265,8.664009703690869e-4,H+0,0,XGBoost regressor
barangaySINSIN,1.1379463573723716e-4,6.008477979911244e-4,5.198405822214521e-4,H+0,0,XGBoost regressor
barangayAGSUNGOT,1.0776966650604316e-4,1.6971509655895758e-4,5.198405822214521e-4,H+0,0,XGBoost regressor
barangayMABINI,1.0762590193146097e-4,1.9038966972521033e-4,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangayPAHINA CENTRAL (POB.),9.752914988123918e-5,2.5112821305417453e-5,3.4656038814763474e-4,H+0,0,XGBoost regressor
percent_open_barren,9.324429495797253e-5,0.0011857865518431206,6.931207762952695e-4,H+0,0,XGBoost regressor
barangayBINALIW,7.52936811435282e-5,1.858316846758164e-5,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangayLUZ,7.134539213770649e-5,0.001840915082471511,6.931207762952695e-4,H+0,0,XGBoost regressor
barangayQUIOT PARDO,6.813773871142188e-5,6.664556423360786e-5,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangayBUDLA-AN (POB.),6.651947444487749e-5,2.9958174939361635e-5,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangaySUDLON I,6.598183741216772e-5,1.5964921363901752e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangaySAN ROQUE (CIUDAD),5.315629321570496e-5,2.453808413631699e-5,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangaySAWANG CALERO (POB.),4.320292752707953e-5,0.0012519132561324016,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangayPIT-OS,3.912807536420506e-5,5.095444127109702e-4,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangaySUBA POB. (SUBA SAN NICOLAS),3.502733015845329e-5,5.104145009253029e-4,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangaySUDLON II,3.4551509128949735e-5,1.1263252022232685e-5,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayTABUNAN,3.4369163193147705e-5,1.185395411269705e-5,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayERMITA (POB.),2.6839106294761043e-5,3.655966992333501e-6,3.4656038814763474e-4,H+0,0,XGBoost regressor
barangaySAPANGDAKU,2.6814456990741057e-5,2.4745628114047716e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayPUNTA PRINCESA,1.700289389683373e-5,6.015662194524999e-4,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayBULACAO,1.5188045248402289e-5,6.240767585756014e-4,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayTINAGO,1.3094115419711505e-5,1.6763167432096839e-6,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayTEJERO (VILLA GONZALO),8.69723035520648e-6,7.74298686149235e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayBUSAY (POB.),8.124614985466578e-6,8.142109895589894e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayLAHUG (POB.),4.060829189091488e-6,5.667547084185121e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayTALAMBAN,3.818772878148684e-6,5.348248656907087e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayINAYAWAN,2.7172784701525556e-6,2.314913597765754e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
barangayTISA,2.474023651352553e-6,5.268424050087578e-7,1.7328019407381737e-4,H+0,0,XGBoost regressor
