Horizon,Horizon_number,soft_alpha,selected_keep_per_var,final_feature_count,reg_eta,reg_max_depth,reg_min_child_weight,reg_subsample,reg_colsample_bytree,reg_lambda,reg_alpha,reg_nrounds,cls_eta,cls_max_depth,cls_min_child_weight,cls_subsample,cls_colsample_bytree,cls_lambda,cls_alpha,cls_nrounds
H+0,0,0.5,2,56,0.03,4,3,0.85,0.85,1,0.05,400,0.05,4,5,0.85,0.85,1,0.05,500
H+1,1,0.5,3,69,0.03,3,5,0.85,0.85,1,0.05,600,0.05,4,5,0.85,0.85,1,0.05,500
H+2,2,0.5,2,56,0.03,3,3,0.85,0.85,1,0.05,500,0.05,4,5,0.85,0.85,1,0.05,500
H+3,3,0.5,1,43,0.05,3,3,0.85,0.85,1,0.05,600,0.05,4,5,0.85,0.85,1,0.05,400
H+4,4,0.5,2,56,0.05,3,5,0.85,0.85,1,0.05,600,0.05,4,3,0.85,0.85,1,0.05,500
H+5,5,0.5,2,56,0.05,3,5,0.85,0.85,1,0.05,500,0.05,4,5,0.85,0.85,1,0.05,500
H+6,6,0.5,1,43,0.05,3,5,0.85,0.85,1,0.05,500,0.05,4,5,0.85,0.85,1,0.05,500
H+7,7,0.5,5,95,0.05,4,3,0.85,0.85,1,0.05,500,0.05,4,5,0.85,0.85,1,0.05,500
H+8,8,0.5,5,95,0.05,4,5,0.85,0.85,1,0.05,400,0.05,4,3,0.85,0.85,1,0.05,500
H+9,9,0.5,4,82,0.03,4,5,0.85,0.85,1,0.05,600,0.05,4,5,0.85,0.85,1,0.05,500
H+10,10,0.5,5,95,0.03,4,5,0.85,0.85,1,0.05,500,0.05,4,3,0.85,0.85,1,0.05,500
H+11,11,0.5,4,82,0.03,4,3,0.85,0.85,1,0.05,500,0.05,4,3,0.85,0.85,1,0.05,400
H+12,12,0.5,5,95,0.05,3,3,0.85,0.85,1,0.05,500,0.03,4,3,0.85,0.85,1,0.05,500
