Feature,Gain,Cover,Frequency,forecast_horizon,forecast_horizon_label,Component
city_dengue_cases_lag1,0.7046394686664671,0.02919674885347137,0.025133333333333334,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag1,0.17953807068729194,0.018974568545471693,0.0126,0,H+0,City-week Pure LightGBM regressor
target_log_incidence_city_lag1,0.00809717202699386,0.0026049689310825397,0.0020666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_lag19,0.007694433534658123,0.01941117503030049,0.023533333333333333,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag20,0.005459218725436726,0.019882011463539864,0.0242,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w4,0.00471615078535992,0.021548101809646558,0.022133333333333335,0,H+0,City-week Pure LightGBM regressor
city_dengue_cases_lag2,0.004531654647088814,0.012503711155121045,0.014733333333333333,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag14,0.004436503845947386,0.0330605416016123,0.0232,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag19,0.004154833073281965,0.015744379128114314,0.021733333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w4,0.003814637036511431,0.0120203004551186,0.017533333333333335,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.00366471536100306,0.01044991425048638,0.014266666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_lag17,0.003184517539042667,0.020199162414119506,0.024533333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_lag18,0.003158845939274091,0.016099951449358888,0.0212,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag5,0.0031408329007514683,0.02319602932598437,0.025733333333333334,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag2,0.003096511276549426,0.007337783226626708,0.0054,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag17,0.002969981067262164,0.016095061456728805,0.018133333333333335,0,H+0,City-week Pure LightGBM regressor
city_dengue_cases_lag5,0.002665318574804623,0.010804788001355226,0.013666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_lag20,0.0025929813998660286,0.02138184206022375,0.021266666666666666,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag10,0.002297077769420145,0.03343986531563156,0.0226,0,H+0,City-week Pure LightGBM regressor
week_cos,0.002231934480648153,0.00501573529771323,0.008533333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag12,0.0021950714835688493,0.02208041243594983,0.023466666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag9,0.002099430226309922,0.030992074719087388,0.025,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag6,0.0020954965451042942,0.025407004565157404,0.025733333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag15,0.0018244902763331083,0.02265882870705102,0.0244,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag13,0.001819104481108532,0.01487815186221398,0.021066666666666668,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag12,0.0018039048577212994,0.016034285834040637,0.015666666666666666,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag15,0.0016558142537342938,0.02172204583320235,0.021733333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.0014502549975564966,0.01510239295282205,0.013733333333333334,0,H+0,City-week Pure LightGBM regressor
city_dengue_cases_lag3,0.001445623812276459,0.007525698657697023,0.011666666666666667,0,H+0,City-week Pure LightGBM regressor
city_dengue_cases_lag4,0.0014334975746346755,0.0126525066451507,0.0132,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w8,0.0013738247362385374,0.007905720942092008,0.0126,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag8,0.0013406128963200058,0.0177611518028355,0.019666666666666666,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag7,0.00132178851316901,0.025211404859954104,0.026866666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag16,0.0012819927726372409,0.030162871683100535,0.0232,0,H+0,City-week Pure LightGBM regressor
city_estimated_population,0.0012613557523053617,0.025875046716893876,0.018666666666666668,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag14,0.0012007605175807527,0.020884459952706786,0.022933333333333333,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag7,0.0011929763501881275,0.01620054558346344,0.0188,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag11,0.0011811491477990387,0.02495223525055973,0.0216,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w4,0.0011546785589247133,0.010249424552652996,0.013133333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.0010999811414286245,0.00899688786897614,0.0128,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w4,0.0010888955674104312,0.011740872304828169,0.014733333333333333,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag10,9.864564818520278e-4,0.022429697623812868,0.0208,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,9.78311250791929e-4,0.007108652143388555,0.007266666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w8,9.48992874876513e-4,0.008126469180821449,0.0092,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag3,8.811729769406552e-4,0.00390291268918159,0.0044666666666666665,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag13,8.037329697261922e-4,0.021432837697651756,0.020666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag1,7.83413824234793e-4,0.014512100985333514,0.018466666666666666,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag6,7.757285958870211e-4,0.02270353721109749,0.019666666666666666,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_rh_lag16,7.246671632270314e-4,0.028209668912570426,0.0274,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag8,6.761709148075268e-4,0.03819712957432614,0.024133333333333333,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,6.592900266584345e-4,0.007879175267814419,0.008733333333333333,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag4,6.350473534455907e-4,0.009319627382561587,0.007466666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,6.301331457287371e-4,0.01031089874571689,0.012266666666666667,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag5,5.97186307467091e-4,0.012259910093992644,0.009133333333333334,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag9,5.886839138042163e-4,0.024167740718619345,0.020266666666666665,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag20,4.4496775158363414e-4,0.0030073454675007597,0.0044666666666666665,0,H+0,City-week Pure LightGBM regressor
city_pop_density,4.27644277266791e-4,0.0031582366686575924,0.0024666666666666665,0,H+0,City-week Pure LightGBM regressor
target_log_incidence_city_lag2,2.917364413797381e-4,0.0010744012378667057,0.0012,0,H+0,City-week Pure LightGBM regressor
week_sin,2.7691003038081137e-4,0.014319295561633118,0.01,0,H+0,City-week Pure LightGBM regressor
target_log_incidence_city_lag3,2.0944322927934965e-4,9.465628591088337e-4,0.001,0,H+0,City-week Pure LightGBM regressor
target_log_incidence_city_lag5,1.0806625380077793e-4,0.001714291702031792,0.0014666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag19,9.750171481404804e-5,8.536529991372655e-4,0.0010666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w8,2.413554379218463e-5,0.0014278778479841006,0.0014666666666666667,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag18,1.297873228471484e-5,7.034603683561591e-4,5.333333333333334e-4,0,H+0,City-week Pure LightGBM regressor
target_log_incidence_city_lag4,1.1611885584041813e-5,0.0013335708472610802,6e-4,0,H+0,City-week Pure LightGBM regressor
city_pop_density_lag20,1.1258861316363362e-5,1.2993408988505026e-4,1.3333333333333334e-4,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w4,4.845071617150899e-6,0.0017736701839685084,0.0018,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag17,2.704620225424615e-6,1.0268984523173326e-4,2e-4,0,H+0,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag16,1.0059186047212891e-6,5.56760589453683e-4,4.6666666666666666e-4,0,H+0,City-week Pure LightGBM regressor
city_pop_density_lag19,5.176191271050046e-7,2.3402107586823566e-4,1.3333333333333334e-4,0,H+0,City-week Pure LightGBM regressor
city_pop_density_lag16,1.1978573804141278e-7,3.562708916202991e-5,6.666666666666667e-5,0,H+0,City-week Pure LightGBM regressor
city_pop_density_lag18,4.2648439869827804e-10,6.28713338153469e-5,6.666666666666667e-5,0,H+0,City-week Pure LightGBM regressor
city_pop_density_lag17,2.3726412200125923e-10,4.47085040464689e-5,6.666666666666667e-5,0,H+0,City-week Pure LightGBM regressor
city_incidence_10000_lag1,0.5032226786799772,0.050397018771905645,0.031785714285714285,1,H+1,City-week Pure LightGBM regressor
city_dengue_cases_lag1,0.17251078665875466,0.043567642366285866,0.038035714285714284,1,H+1,City-week Pure LightGBM regressor
target_log_incidence_city_lag1,0.1167745610036409,0.008076764066142801,0.005714285714285714,1,H+1,City-week Pure LightGBM regressor
city_incidence_10000_lag2,0.02510023197321923,0.03479188658149007,0.02214285714285714,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w8,0.01629104422126406,0.02888597484482242,0.03785714285714286,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rh_lag19,0.013884960671321923,0.03373487471425872,0.03321428571428572,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag13,0.012584804420047712,0.03260682710326182,0.03232142857142857,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.011904863572938252,0.028465443241730375,0.03321428571428572,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rh_lag20,0.010775289352164404,0.026851511143377124,0.03232142857142857,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w4,0.008880047450995554,0.0410046727312249,0.038214285714285715,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.008811002493858109,0.034928275209519924,0.037142857142857144,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag20,0.008642547638109932,0.03328877024341108,0.03589285714285714,1,H+1,City-week Pure LightGBM regressor
city_estimated_population,0.007973753722616696,0.028780841944049406,0.028214285714285713,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w4,0.007625820001822177,0.0312045815213299,0.03696428571428571,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag8,0.006403872135784498,0.04077309620654921,0.03982142857142857,1,H+1,City-week Pure LightGBM regressor
city_dengue_cases_lag2,0.006282513145024974,0.023664847678054643,0.02517857142857143,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w4,0.006080536699838898,0.027250732023339504,0.03339285714285714,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w4,0.0059448415302495086,0.03437703783789928,0.03642857142857143,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.005729957926323293,0.033557285354844854,0.029642857142857144,1,H+1,City-week Pure LightGBM regressor
week_cos,0.005509627139686341,0.01511072341380736,0.01839285714285714,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag14,0.00416456790893388,0.03618134572954419,0.04232142857142857,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w8,0.004073950082834973,0.02801649734113211,0.025714285714285714,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.00377650478456888,0.028716909774660414,0.029285714285714286,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag19,0.0036233436323983488,0.015019797661787458,0.023928571428571428,1,H+1,City-week Pure LightGBM regressor
week_sin,0.003604367618366683,0.0399291915706145,0.030714285714285715,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag10,0.003539100316418347,0.026582996031943352,0.03267857142857143,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag13,0.002807095690697736,0.03184816535984577,0.03660714285714286,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag8,0.002327127741601669,0.026953802614399513,0.027142857142857142,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag7,0.0022620960948794215,0.028989687030720118,0.02875,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag14,0.002194117277601994,0.035114388858185665,0.031071428571428573,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,0.0021819952784347778,0.01542185997150046,0.017857142857142856,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,0.0019776008004228564,0.023680475541683062,0.021607142857142856,1,H+1,City-week Pure LightGBM regressor
city_pop_density,7.150679524979989e-4,0.005464069410445948,0.005,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag19,6.45890560962075e-4,0.0034509164321303194,0.004642857142857143,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag20,5.169380730777825e-4,0.008497295669234845,0.007142857142857143,1,H+1,City-week Pure LightGBM regressor
target_log_incidence_city_lag2,4.754652984697376e-4,0.002135334457592371,0.0017857142857142857,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w4,7.743413825096174e-5,0.0036483957997985425,0.0025,1,H+1,City-week Pure LightGBM regressor
city_area_weighted_pop_density_rollmean_lag1_w8,6.936182346171086e-5,0.007387717351616987,0.004107142857142857,1,H+1,City-week Pure LightGBM regressor
city_pop_density_lag20,3.29524746436195e-5,0.0016167735281038713,0.0010714285714285715,1,H+1,City-week Pure LightGBM regressor
city_pop_density_lag19,1.2820138382521509e-6,2.5572867755597262e-5,1.7857142857142857e-4,1,H+1,City-week Pure LightGBM regressor
city_incidence_10000_lag1,0.3696443469481443,0.050190898016984974,0.041666666666666664,2,H+2,City-week Pure LightGBM regressor
city_dengue_cases_lag1,0.2094100895172822,0.04483197961458831,0.03916666666666667,2,H+2,City-week Pure LightGBM regressor
target_log_incidence_city_lag1,0.10706423393604889,0.010543510543510543,0.0075,2,H+2,City-week Pure LightGBM regressor
city_dengue_cases_lag2,0.047064803891410906,0.03275396753657623,0.029166666666666667,2,H+2,City-week Pure LightGBM regressor
city_estimated_population,0.025786919004232422,0.047535112752504056,0.05125,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_temp_c_rollmean_lag1_w8,0.02425780037577285,0.01966443270791097,0.024166666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w4,0.02131851563883807,0.04578969796361101,0.049166666666666664,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w8,0.01680167843189612,0.033485707398750876,0.04,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w8,0.014592265211493902,0.029732312341007993,0.0325,2,H+2,City-week Pure LightGBM regressor
city_incidence_10000_lag2,0.013453205147755656,0.01985597637771551,0.02,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag13,0.01216395753077858,0.03133783568566177,0.030416666666666668,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rainfall_rollmean_lag1_w4,0.011451702272458378,0.046504220417263896,0.045,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_rollmean_lag1_w4,0.01071334775069782,0.04787515657080874,0.0425,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_u_component_of_wind_10m_lag7,0.010512975044241524,0.01641034249729902,0.018333333333333333,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w4,0.010226627202420334,0.04082893213327996,0.0325,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_temp_c_lag12,0.009598801028578395,0.036311514572384136,0.0375,2,H+2,City-week Pure LightGBM regressor
week_sin,0.008449875134140288,0.035702448745927005,0.03625,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag18,0.008074875837828179,0.03229124968255403,0.03625,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_rollmean_lag1_w8,0.007124330960120875,0.02488561184213358,0.03125,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_lag20,0.0070607285509693965,0.0253720036328732,0.030416666666666668,2,H+2,City-week Pure LightGBM regressor
week_cos,0.006874084940424053,0.018510866336953292,0.01875,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_rollmean_lag1_w8,0.006702661454706354,0.02584333019115628,0.024166666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag9,0.005760269024757319,0.0423311510268032,0.037083333333333336,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag13,0.00569686275026873,0.019320084537475843,0.02375,2,H+2,City-week Pure LightGBM regressor
target_log_incidence_city_lag2,0.004162212250108989,0.0012611751742186525,0.0016666666666666668,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rh_lag19,0.004074104911483715,0.02423350249437206,0.02666666666666667,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w4,0.0038938750780368194,0.020957890523107914,0.022083333333333333,2,H+2,City-week Pure LightGBM regressor
city_pop_density,0.003674080495698021,0.007588572805964111,0.009583333333333333,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_rollmean_lag1_w8,0.003345411687860417,0.026934483456222586,0.02625,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_wind_speed_10m_lag12,0.0023963673526628,0.023458719110893023,0.024166666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_v_component_of_wind_10m_lag7,0.002062646053708385,0.03844216887695148,0.034583333333333334,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_rainfall_lag19,0.001983423180146078,0.02164658686397817,0.020416666666666666,2,H+2,City-week Pure LightGBM regressor
city_area_weighted_pop_density_lag20,0.0011203262036532104,0.010806076023467328,0.01125,2,H+2,City-week Pure LightGBM regressor
