variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,selection_score,selected
city_area_weighted_rainfall,city_area_weighted_rainfall_lag18,18,0.12775607660000152,0.12317265956560083,0.14885998279899934,0.07247761845437639,0.12378962075324844,TRUE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag19,19,0.12065110388459398,0.11913133025845998,0.15379178886529427,0.04180776498009661,0.11720595197210239,TRUE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag20,20,0.11173015298833247,0.11449182627314498,0.15713265465721643,0.06377854692143534,0.11471195328165974,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag15,15,0.10618265151600492,0.10298425255641537,0.11803159635317774,0.09066259690939596,0.1052885481450636,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag16,16,0.10554445248526531,0.1049304197662698,0.1041650713462872,0.09334234384463531,0.10390242299870715,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag17,17,0.10082706190096312,0.1011652637141299,0.10823748613941256,0.10321543148199755,0.10229583312944235,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag14,14,0.09018224237663275,0.07985388552937177,0.10807693636948344,0.04850603850527822,0.08508390119188355,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag2,2,0.07941300261975552,0.08783349362208716,0.06732402968632784,0.11279061880113395,0.08388459014869529,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag1,1,0.07629194131273567,0.07972813804748306,0.07965615978752388,0.07188961192528323,0.07755901000237024,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag13,13,0.08133984208853116,0.06914833691651537,0.10248180040683548,0.04138529246442548,0.07624865406366071,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag4,4,0.0629464113965347,0.07796932332957893,0.06577116139180812,0.0854607915073553,0.07087958108347325,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag3,3,0.061190699752799615,0.06883106061726053,0.056393169237970775,0.04840947884381567,0.061867074387238215,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag5,5,0.04304421444752681,0.055849359569544885,0.07058944428154831,0.10486659600340761,0.05784003787092444,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag11,11,0.06177837468304146,0.055156168840217894,0.029110379707179602,0.037256189498568834,0.05210818487322667,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag12,12,0.05530127223078032,0.04798637888266994,0.05405524012422299,0.047171548020557154,0.051741182321935766,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag10,10,0.0604192481738165,0.04713745923059822,0.025412167753105366,0.0033440504194504326,0.04481204020514682,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag6,6,0.022129990203776824,0.027924914667865494,0.05627226482421127,0.043765228979749396,0.03144307883687028,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag9,9,0.03638838815166936,0.021831950489765703,0.01231766572073636,0.004200662745764988,0.02446425406477269,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag8,8,0.028587130127811538,0.018788042426694546,0.005580656082738161,0.003221954240027632,0.019169960736881195,FALSE
city_area_weighted_rainfall,city_area_weighted_rainfall_lag7,7,0.007140134958614048,0.002802071408083443,0.04789367792348833,0.01907914952953278,0.012928745617751352,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag18,18,0.27484448473017453,0.2872109088720121,0.34041240100521464,0.23162783315582658,0.28468625546363885,TRUE
city_area_weighted_rh,city_area_weighted_rh_lag19,19,0.2730320518202493,0.28383420645192803,0.31852228199778476,0.1945926155624282,0.2757923968421851,TRUE
city_area_weighted_rh,city_area_weighted_rh_lag17,17,0.2555281984842404,0.27158468201854774,0.2989808453293534,0.24452783377458984,0.2665658282770499,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag20,20,0.2520417079009543,0.2640948524320044,0.3047337679570865,0.15901633155131512,0.25486157986027774,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag16,16,0.23992061878192078,0.25218581712371085,0.2731715323868602,0.22855729935889232,0.24806474329998535,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag15,15,0.21631286971295036,0.2224646982080493,0.25338115886145773,0.19123486497360181,0.2215184525845762,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag14,14,0.19550485871313042,0.19432384466006178,0.2537425174724553,0.13262557077669015,0.19753922381481112,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag13,13,0.1703803066841817,0.16728147010058453,0.22421348908353772,0.1233199912926884,0.17266465970067674,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag12,12,0.14742997022880394,0.14648154652820913,0.18914799773026142,0.08414890574719774,0.14702761961065378,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag11,11,0.13479423208778094,0.13427888022997267,0.1443655175700225,0.10496974337351218,0.13306710288845738,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag1,1,0.13388380595422716,0.1345524035588903,0.12313556335712937,0.06289631550462227,0.1254068296813341,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag2,2,0.1246268449477768,0.1234967452868443,0.0838076322341609,0.0927768631027227,0.11492342997490264,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag3,3,0.10490239689927845,0.09908489052986977,0.08346379189877053,0.01608966895838674,0.09076920612582005,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag4,4,0.10497704295522757,0.09818963276173302,0.08034186021270583,0.0216235410262174,0.0905708217832252,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag10,10,0.08904381118366705,0.08488348379157436,0.08358067756305138,0.046068947558453165,0.08247074019082087,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag5,5,0.07593792832603631,0.07046854091869875,0.07182151176582052,0.04186369514018623,0.0699987569308508,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag6,6,0.05048437848746789,0.044702890118644235,0.03974802636619977,0.005464835898472253,0.04234845048128984,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag9,9,0.03990287175542899,0.03778272054412459,0.044062097975974435,0.03398938231427669,0.039193353820439036,FALSE
city_area_weighted_rh,city_area_weighted_rh_lag7,7,0.028147764335295734,0.025328248569109698,0.018486845966249332,0.03174747259575572,0.026071766887819658,FALSE
