Model,forecast_horizon,forecast_horizon_label,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week environmental-only LightGBM regressor,0,H+0,78.93188992293729,42.455986009913545,-0.1328022721546014,-0.28073741523163354,-21.84001570939162,31.39075352137761,53.23076923076923,0.3855213990633706,0.24751083962083648,-0.12504834339860116,-0.29764642980538353,NA,0,NA,0,1,0,84,0,20,152.52742501542158,123.33674172526058,-122.99123182003328,0.9629629629629629
City-week environmental-only LightGBM regressor,1,H+1,78.171780089398,43.57086975159131,-0.11108967424487726,-0.23599338870338335,-19.405200362143056,33.82556886862618,53.23076923076923,0.3811169111103057,0.25583112304211447,-0.09948838455878639,-0.24930253765870974,NA,0,NA,0,1,0,84,0,20,150.31701788712328,121.31194499069353,-120.40544893639868,0.9629629629629629
City-week environmental-only LightGBM regressor,2,H+2,77.53722696865835,42.823023188619416,-0.0931245250634094,-0.10547821515270586,-19.903197247365867,33.32757198340337,53.23076923076923,0.375781104847554,0.2502836905663617,-0.06891724518067299,-0.1138539912858801,NA,0,NA,0,1,0,84,0,20,149.27001945758985,120.32674180451444,-119.5939792270797,0.9629629629629629
City-week environmental-only LightGBM regressor,3,H+3,77.09019083875428,42.54106648226138,-0.08055617592719821,-0.05280882740475923,-19.30082307617494,33.92994615459429,53.23076923076923,0.37205706849326187,0.24824691288470055,-0.04783602483386651,-0.04470452868974413,NA,0,NA,0,1,0,84,0,20,148.32132203288856,118.6105693481583,-118.08677792882118,0.9629629629629629
City-week environmental-only LightGBM regressor,4,H+4,77.70737058165572,42.69634615597978,-0.09792717856918265,-0.11828209724826588,-19.58704788700107,33.64372134376816,53.23076923076923,0.3767865183634729,0.24911647254576075,-0.0746447367062626,-0.10747332647009679,NA,0,NA,0,1,0,84,0,20,149.46014427653174,119.5691464812915,-118.83698560266284,0.9629629629629629
City-week environmental-only LightGBM regressor,5,H+5,77.82268078590903,42.484948417657776,-0.10118803114902097,-0.2229761305939376,-19.755397364614236,33.475371866154994,53.23076923076923,0.3773759151123284,0.24778269387550605,-0.0780094404947187,-0.22482676314588881,NA,0,NA,0,1,0,84,0,20,149.8999664774985,119.65194247002985,-119.31816254891467,0.9259259259259259
City-week environmental-only LightGBM regressor,6,H+6,76.12769616231932,42.604428784270105,-0.05374246560654461,0.08431878051915588,-18.146307833685732,35.0844613970835,53.23076923076923,0.36789349958200457,0.24820122759274374,-0.024515266377256095,0.0641374194833027,NA,0,NA,0,1,0,84,0,20,145.75191276848125,117.03645057378634,-116.5197976707246,0.9259259259259259
City-week environmental-only LightGBM regressor,7,H+7,76.02998832689039,42.52959673189751,-0.05103930163010628,0.09438568831908006,-17.954580016823734,35.2761892139455,53.23076923076923,0.3669067486746078,0.24726265428084584,-0.019026799664309868,0.08660058870771761,0,0,NA,0.023809523809523808,0.9761904761904762,0,82,2,20,145.31077154377516,116.34063686022691,-116.25480384605679,0.9629629629629629
City-week environmental-only LightGBM regressor,8,H+8,77.42242403912581,42.74902199434718,-0.08988992412318986,-0.059902835008089635,-19.367656529370045,33.86311270139919,53.23076923076923,0.3756317159558076,0.24922436117510152,-0.06806753443193769,-0.07274345279067629,NA,0,NA,0,1,0,84,0,20,148.6992946314992,119.32174555279117,-119.3130472602898,0.9629629629629629
City-week environmental-only LightGBM regressor,9,H+9,78.00269817906641,43.11030666476738,-0.106288402157515,-0.42731112824337,-19.38087096986406,33.84989826090517,53.23076923076923,0.3796175030220556,0.2528505677969964,-0.09085408487397628,-0.45945163166200037,NA,0,NA,0,1,0,84,0,20,150.2088506882831,120.34953637957169,-120.134834427885,0.9629629629629629
City-week environmental-only LightGBM regressor,10,H+10,76.78762071521358,43.92249767023826,-0.07209070442472032,-0.21776700318511027,-16.70450217029961,36.52626706046962,53.23076923076923,0.3721173174962551,0.2587746616993143,-0.04817541463561237,-0.24453211317406845,NA,0,NA,0,1,0,84,0,20,147.01123543405808,116.99666162748771,-116.52955998051002,0.9259259259259259
City-week environmental-only LightGBM regressor,11,H+11,76.37308985564243,44.10695469083881,-0.060546783376920654,-0.14524430368384367,-15.976513984419947,37.25425524634928,53.23076923076923,0.369857917808059,0.2601222385666514,-0.03548555902787043,-0.18533772472757376,NA,0,NA,0,1,0,84,0,20,145.84778819806252,115.90863748063933,-115.52398260183884,0.9259259259259259
City-week environmental-only LightGBM regressor,12,H+12,77.14222310336346,43.631611229474224,-0.08201531770563775,-0.15207396648045468,-17.433271756657604,35.79749747411163,53.23076923076923,0.375157955889992,0.25623361393461436,-0.06537506398040471,-0.1840499447732704,NA,0,NA,0,1,0,84,0,20,147.496941296428,117.55497603045204,-117.55497603045204,1
