forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+0,regressor,0.05,31,5,0.85,0.85,1,500,14.963712191599823,10.001247737920696,0.8587180953743092,0.9308897045616484,22.370195084065706
H+0,regressor,0.05,31,5,0.85,0.85,1,600,14.963865567215963,10.001200795572599,0.85871519912638,0.930886570886867,22.370244727820147
H+0,regressor,0.05,31,5,0.85,0.85,1,400,14.965263031396322,10.001399866725652,0.8586888089310162,0.9308812594633727,22.372107131228315
H+0,regressor,0.03,31,10,0.85,0.85,1,400,15.192293122021349,10.165052566019696,0.8543687724359884,0.9287362606553704,22.563251718595115
H+0,regressor,0.03,31,10,0.85,0.85,1,600,15.201612193493213,10.194652912649333,0.8541900549705148,0.928663253905137,22.583493766522892
H+0,regressor,0.03,31,10,0.85,0.85,1,500,15.208146473574997,10.18744568564914,0.8540646777702773,0.9286154222177359,22.588882801738627
H+0,regressor,0.03,15,5,0.85,0.85,1,500,15.279883409078264,9.991726678166879,0.8526846747726438,0.9294256873629432,22.617511389182326
H+0,regressor,0.03,15,5,0.85,0.85,1,400,15.282987919049962,9.989925240763394,0.8526248067298817,0.929326568411043,22.61807099715
H+0,regressor,0.03,15,5,0.85,0.85,1,600,15.288949528359538,9.998929274689166,0.852509807661596,0.9293788970783238,22.632175029540157
H+0,regressor,0.05,31,10,0.85,0.85,1,400,15.217981818196996,10.318401022246004,0.8538758594534136,0.9292941341196203,22.721254293915074
H+0,regressor,0.05,31,10,0.85,0.85,1,600,15.222555047684379,10.324228049464985,0.8537880213093995,0.9292120795317119,22.725023461524664
H+0,regressor,0.05,31,10,0.85,0.85,1,500,15.222382064065329,10.321597367884976,0.8537913442907828,0.929238338110392,22.72571434565079
H+0,regressor,0.05,15,5,0.85,0.85,1,600,15.397529981021071,10.084167982840599,0.8504074501885676,0.9260412272113191,22.742071630799938
H+0,regressor,0.05,15,5,0.85,0.85,1,500,15.397571114573031,10.08378803511572,0.8504066509329535,0.9260393755682242,22.742572135095042
H+0,regressor,0.05,15,5,0.85,0.85,1,400,15.399778351775254,10.084529734595375,0.8503637595354747,0.9260237497456969,22.74657327009479
H+0,regressor,0.03,15,10,0.85,0.85,1,400,15.342017857090239,10.146418949237678,0.8514841463557317,0.9287994550338244,22.892602767140918
H+0,regressor,0.03,15,10,0.85,0.85,1,600,15.350297944256326,10.171186970951835,0.8513237950816995,0.9286770456611938,22.902415345465997
H+0,regressor,0.03,15,10,0.85,0.85,1,500,15.353570639901488,10.169881808089677,0.8512603925550637,0.928627506758484,22.909721946153876
H+0,regressor,0.03,15,20,0.85,0.85,1,400,15.357727736815933,10.44790691294932,0.8511798368738114,0.927217705403864,22.96616796709442
H+0,regressor,0.03,31,20,0.85,0.85,1,400,15.357727736815933,10.44790691294932,0.8511798368738114,0.927217705403864,22.96616796709442
H+0,regressor,0.03,15,20,0.85,0.85,1,500,15.425917029892963,10.52757109355908,0.8498553609293873,0.926726951806947,23.083588709620958
H+0,regressor,0.03,31,20,0.85,0.85,1,500,15.425917029892963,10.52757109355908,0.8498553609293873,0.926726951806947,23.083588709620958
H+0,regressor,0.03,15,20,0.85,0.85,1,600,15.458470994691552,10.565518483116668,0.8492209790959473,0.9264617530635789,23.13066597809867
H+0,regressor,0.03,31,20,0.85,0.85,1,600,15.458470994691552,10.565518483116668,0.8492209790959473,0.9264617530635789,23.13066597809867
H+0,regressor,0.03,31,5,0.85,0.85,1,600,15.433678758325511,10.316534594079151,0.8497042288962642,0.9254601802584779,23.132035120239372
H+0,regressor,0.03,31,5,0.85,0.85,1,500,15.440895488468101,10.316860716870725,0.8495636405600224,0.9254049995505884,23.140840809965553
H+0,regressor,0.03,31,5,0.85,0.85,1,400,15.44326401607935,10.31487998959384,0.8495174852059761,0.9254057249767651,23.144095061686183
H+0,regressor,0.03,7,10,0.85,0.85,1,400,15.748189631324507,10.463955960272987,0.8435162952754337,0.9247696797132442,23.330520804449495
H+0,regressor,0.03,7,10,0.85,0.85,1,500,15.81109710338113,10.589591624618622,0.8422636235911309,0.924408088219443,23.445300151400033
H+0,regressor,0.03,7,20,0.85,0.85,1,400,15.743642640802717,10.67480885324057,0.8436066456228044,0.9239579638709058,23.491337074530346
H+0,regressor,0.05,15,10,0.85,0.85,1,600,15.681014225268044,10.54181161367694,0.8448484403648977,0.9263025218304277,23.5218588738943
H+0,regressor,0.05,15,10,0.85,0.85,1,400,15.682948175517115,10.53826721676651,0.8448101681082555,0.9263110251857956,23.52273499806661
H+0,regressor,0.05,15,10,0.85,0.85,1,500,15.683531301392481,10.54167445779235,0.8447986273076407,0.926283405897059,23.52495948211898
H+0,regressor,0.03,7,10,0.85,0.85,1,600,15.870195569589212,10.670199602966493,0.8410822508350232,0.9240823046546651,23.544037090117847
H+0,regressor,0.03,7,20,0.85,0.85,1,500,15.786069009732373,10.726130486739754,0.8427626042966174,0.9236562848458351,23.555238164430254
H+0,regressor,0.03,7,20,0.85,0.85,1,600,15.858517128150062,10.815412854025732,0.8413160512014912,0.9230622315351654,23.618847049737287
H+0,regressor,0.05,15,20,0.85,0.85,1,400,15.824595685948449,10.50817558987048,0.8419941765834902,0.9230655812695029,23.66438871412408
H+0,regressor,0.05,31,20,0.85,0.85,1,400,15.824595685948449,10.50817558987048,0.8419941765834902,0.9230655812695029,23.66438871412408
H+0,regressor,0.05,15,20,0.85,0.85,1,500,15.84596785177286,10.559945563624616,0.8415670936920174,0.9229766455971983,23.702602749458187
H+0,regressor,0.05,31,20,0.85,0.85,1,500,15.84596785177286,10.559945563624616,0.8415670936920174,0.9229766455971983,23.702602749458187
H+0,regressor,0.05,15,20,0.85,0.85,1,600,15.847909189215823,10.578108620496309,0.8415282711250576,0.9230709113769361,23.70385422874713
H+0,regressor,0.05,31,20,0.85,0.85,1,600,15.847909189215823,10.578108620496309,0.8415282711250576,0.9230709113769361,23.70385422874713
H+0,regressor,0.03,7,5,0.85,0.85,1,500,15.97690542400819,10.521510876946628,0.8389379669558104,0.9233204073041387,23.72240151504978
H+0,regressor,0.03,7,5,0.85,0.85,1,400,15.993491265240493,10.48795744755811,0.8386033920403829,0.9226805110182706,23.722478786627278
H+0,regressor,0.03,7,5,0.85,0.85,1,600,16.03755650159649,10.599251969275016,0.8377128076126246,0.9230950357741666,23.821357870412946
H+0,regressor,0.05,7,5,0.85,0.85,1,400,16.239675740044106,10.81741225998112,0.8335964624085341,0.918921737239191,24.030772500569825
H+0,regressor,0.05,7,5,0.85,0.85,1,500,16.2482270213021,10.850021850092006,0.8334211709657708,0.918937544982989,24.0492224569775
H+0,regressor,0.05,7,5,0.85,0.85,1,600,16.243826923070138,10.867286303773678,0.8335113794500775,0.9191152737399932,24.052056466264187
H+0,regressor,0.05,7,10,0.85,0.85,1,400,16.404880118542927,11.017161901860568,0.8301936330920285,0.9187509506075686,24.370364087718723
H+0,regressor,0.05,7,20,0.85,0.85,1,600,16.318247814266087,11.005607111105942,0.8319823537568114,0.9171920444709462,24.415618652538306
H+0,regressor,0.05,7,20,0.85,0.85,1,400,16.36668986314943,10.983826043731218,0.8309833249463013,0.9166638259137294,24.4203761504019
H+0,regressor,0.05,7,10,0.85,0.85,1,500,16.461514970579657,11.09049768378897,0.8290191583270402,0.9184544798401534,24.449005666827837
H+0,regressor,0.05,7,10,0.85,0.85,1,600,16.476302883810664,11.112104648448861,0.8287118250652314,0.9182445053444014,24.47289311350015
H+0,regressor,0.05,7,20,0.85,0.85,1,500,16.363405446078442,11.014391055184552,0.8310511536346256,0.9167719168977722,24.474729727326537
